Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-07-24;36,6323;36,6323;36,6323;36,6323;;
2017-07-21;36,7207;36,7207;36,7207;36,7207;;
2017-07-20;37,1034;37,1034;37,1034;37,1034;;
2017-07-19;37,2506;37,2506;37,2506;37,2506;;
2017-07-18;36,9562;36,9562;36,9562;36,9562;;
2017-07-17;37,3781;37,3781;37,3781;37,3781;;
2017-07-14;37,3781;37,3781;37,3781;37,3781;;
2017-07-13;37,2996;37,2996;37,2996;37,2996;;
2017-07-12;37,1819;37,1819;37,1819;37,1819;;
2017-07-11;36,6225;36,6225;36,6225;36,6225;;
2017-07-10;36,8679;36,8679;36,8679;36,8679;;
2017-07-07;36,7207;36,7207;36,7207;36,7207;;
2017-07-06;36,7501;36,7501;36,7501;36,7501;;
2017-07-05;36,9954;36,9954;36,9954;36,9954;;
2017-07-04;36,9267;36,9267;36,9267;36,9267;;
2017-07-03;37,0249;37,0249;37,0249;37,0249;;
2017-06-30;36,6323;36,6323;36,6323;36,6323;;
2017-06-29;36,7599;36,7599;36,7599;36,7599;;
2017-06-28;37,2604;37,2604;37,2604;37,2604;;
2017-06-27;37,2702;37,2702;37,2702;37,2702;;
2017-06-26;37,5646;37,5646;37,5646;37,5646;;
2017-06-23;37,4174;37,4174;37,4174;37,4174;;
2017-06-22;37,5057;37,5057;37,5057;37,5057;;
2017-06-21;37,5057;37,5057;37,5057;37,5057;;
2017-06-20;37,5646;37,5646;37,5646;37,5646;;
2017-06-19;37,8394;37,8394;37,8394;37,8394;;
2017-06-16;37,5057;37,5057;37,5057;37,5057;;
2017-06-15;37,2702;37,2702;37,2702;37,2702;;
2017-06-14;37,4008;37,4008;37,4008;37,4008;;
2017-06-13;37,5074;37,5074;37,5074;37,5074;;
2017-06-12;37,2942;37,2942;37,2942;37,2942;;
2017-06-09;37,6625;37,6625;37,6625;37,6625;;
2017-06-08;37,5365;37,5365;37,5365;37,5365;;
2017-06-07;37,5268;37,5268;37,5268;37,5268;;
2017-06-06;37,5559;37,5559;37,5559;37,5559;;
2017-06-02;37,8466;37,8466;37,8466;37,8466;;
2017-06-01;37,7594;37,7594;37,7594;37,7594;;
2017-05-31;37,585;37,585;37,585;37,585;;
2017-05-30;37,6237;37,6237;37,6237;37,6237;;
2017-05-29;37,6819;37,6819;37,6819;37,6819;;
2017-05-26;37,6819;37,6819;37,6819;37,6819;;
2017-05-25;37,7594;37,7594;37,7594;37,7594;;
2017-05-24;37,7788;37,7788;37,7788;37,7788;;
2017-05-23;37,7303;37,7303;37,7303;37,7303;;
2017-05-22;37,6431;37,6431;37,6431;37,6431;;
2017-05-19;37,6625;37,6625;37,6625;37,6625;;
2017-05-18;37,4299;37,4299;37,4299;37,4299;;
2017-05-17;37,5947;37,5947;37,5947;37,5947;;
2017-05-16;38,0405;38,0405;38,0405;38,0405;;
2017-05-15;38,0308;38,0308;38,0308;38,0308;;
2017-05-12;37,9726;37,9726;37,9726;37,9726;;
2017-05-11;37,8466;37,8466;37,8466;37,8466;;
2017-05-10;37,992;37,992;37,992;37,992;;
2017-05-09;37,9145;37,9145;37,9145;37,9145;;
2017-05-08;37,7497;37,7497;37,7497;37,7497;;
2017-05-05;37,7788;37,7788;37,7788;37,7788;;
2017-05-04;37,5074;37,5074;37,5074;37,5074;;
2017-05-03;37,2361;37,2361;37,2361;37,2361;;
2017-05-02;37,2457;37,2457;37,2457;37,2457;;
2017-04-28;36,9744;36,9744;36,9744;36,9744;;
2017-04-27;37,0325;37,0325;37,0325;37,0325;;
2017-04-26;37,0901;37,0901;37,0901;37,0901;;
2017-04-25;36,9078;36,9078;36,9078;36,9078;;
2017-04-24;36,8215;36,8215;36,8215;36,8215;;
2017-04-21;36,0539;36,0539;36,0539;36,0539;;
2017-04-20;36,0444;36,0444;36,0444;36,0444;;
2017-04-19;35,958;35,958;35,958;35,958;;
2017-04-18;35,8621;35,8621;35,8621;35,8621;;
2017-04-13;36,265;36,265;36,265;36,265;;
2017-04-12;36,3801;36,3801;36,3801;36,3801;;
2017-04-11;36,313;36,313;36,313;36,313;;
2017-04-10;36,313;36,313;36,313;36,313;;
2017-04-07;36,2938;36,2938;36,2938;36,2938;;
2017-04-06;36,2362;36,2362;36,2362;36,2362;;
2017-04-05;36,1499;36,1499;36,1499;36,1499;;
2017-04-04;36,1403;36,1403;36,1403;36,1403;;
2017-04-03;36,0635;36,0635;36,0635;36,0635;;
2017-03-31;36,2362;36,2362;36,2362;36,2362;;
2017-03-30;36,1595;36,1595;36,1595;36,1595;;
2017-03-29;35,9388;35,9388;35,9388;35,9388;;
2017-03-28;35,8237;35,8237;35,8237;35,8237;;
2017-03-27;35,6126;35,6126;35,6126;35,6126;;
2017-03-24;35,7373;35,7373;35,7373;35,7373;;
2017-03-23;35,8045;35,8045;35,8045;35,8045;;
